FECHA_SINIESTRO,HORA_SINIESTRO,CLASE_SINIESTRO,CANTIDAD_DE_VEHICULOS_DANADOS,DISTRITO,ZONA,TIPO_DE_VIA,RED_VIAL,EXISTE_CICLOVIA,COORDENADAS_LATITUD,COORDENADAS_LONGITUD,CONDICION_CLIMATICA,ZONIFICACION,CARACTERISTICAS_DE_VIA,PERFIL_LONGITUDINAL_VIA,SUPERFICIE_DE_CALZADA,SENALIZACION,DIA_DE_LA_SEMANA,MES,PERIODO_DEL_DIA,FERIADO,ACCIDENTE
2021-01-01,4,0,1,0,0,0,0,0,-11.4828792384881,-77.25554675971524,0,0,0,0,0,0,4,1,0,0,1
2021-01-01,5,0,1,1,1,1,1,0,-12.2294,-76.859412,0,1,0,0,1,0,4,1,0,0,1
2021-01-01,14,1,1,2,1,1,1,0,-12.164406,-76.953426,0,1,0,0,1,0,4,1,1,0,1
2022-01-01,6,0,1,3,1,1,1,0,-12.063661,-76.952232,0,2,0,0,1,0,5,1,0,0,1
2022-01-01,23,1,1,1,1,0,0,0,-12.104026430763833,-76.87641783945658,0,0,0,0,1,0,5,1,2,0,1
2023-01-01,4,2,1,4,1,0,2,0,-12.02115428,-76.92843602,0,1,0,0,1,0,6,1,0,0,1
2023-01-01,10,2,1,5,1,1,1,0,-12.18744311,-76.995348,0,3,1,0,1,0,6,1,3,0,1
2021-02-01,4,2,1,6,1,1,1,0,-12.09219,-77.032178,0,3,1,0,1,0,0,2,0,0,1
2021-02-01,7,2,1,7,1,1,1,0,-11.937625632516268,-77.07126170396806,0,3,1,0,1,0,0,2,3,0,1
2021-03-01,5,1,1,8,1,0,2,0,-11.53777846548452,-77.2829764573073,0,0,0,0,1,0,0,3,0,0,1
2021-03-01,8,3,1,9,1,1,1,0,-11.9969,-77.0544,0,2,0,0,1,0,0,3,3,0,1
2022-03-01,7,4,2,10,0,1,1,0,-11.845251,-77.077429,0,0,0,0,1,0,1,3,3,0,1
2023-03-01,5,2,1,4,0,0,0,0,-11.9982629,-76.92719986,0,1,0,0,1,0,2,3,0,0,1
2023-04-01,20,5,1,11,1,1,1,0,-12.113598546581429,-76.99475546746805,0,3,0,0,1,0,5,4,2,0,1
2023-04-01,22,1,1,12,1,0,2,0,-12.285617,-76.874719,0,2,0,0,1,0,5,4,2,0,1
2021-05-01,0,1,1,13,0,0,2,1,-10.738742225081932,-77.74812410503186,0,0,0,0,1,0,5,5,2,0,1
2021-05-01,5,6,1,4,1,1,1,0,-11.930175,-76.69002,0,3,0,0,1,0,5,5,0,0,1
2021-05-01,15,1,1,7,1,1,1,0,-11.962209,-77.054503,0,1,0,0,1,0,5,5,1,0,1
2022-05-01,5,5,1,14,0,0,2,0,-11.0422,-77.58955,0,0,0,0,1,1,6,5,0,0,1
