HORA_SINIESTRO,CLASE_SINIESTRO,CANTIDAD_DE_VEHICULOS_DANADOS,DISTRITO,ZONA,TIPO_DE_VIA,RED_VIAL,EXISTE_CICLOVIA,CONDICION_CLIMATICA,ZONIFICACION,CARACTERISTICAS_DE_VIA,PERFIL_LONGITUDINAL_VIA,SUPERFICIE_DE_CALZADA,SENALIZACION,DIA_DE_LA_SEMANA,MES,PERIODO_DEL_DIA,FERIADO,ACCIDENTE,FECHA_SINIESTRO
5,1,1,34,1,1,1,1,0,2,0,0,1,0,2,11,0,0,0,
11,0,1,22,0,0,2,1,0,0,4,1,1,0,5,5,3,0,1,2021-05-29
5,2,2,30,1,0,0,0,0,3,1,0,4,0,1,12,0,0,0,
3,5,1,12,1,0,2,0,0,2,0,0,1,0,6,12,0,0,1,2022-12-18
23,5,1,21,1,0,2,0,0,0,0,0,1,0,5,12,2,0,0,
6,2,2,17,1,0,3,0,0,3,0,0,1,0,0,7,0,0,0,
23,2,1,10,1,0,2,0,0,1,0,0,1,0,1,2,2,0,0,
7,1,2,3,1,0,2,0,0,3,0,0,1,0,2,5,3,0,0,
1,2,1,46,1,1,1,0,0,1,0,0,2,0,5,7,2,0,0,
12,7,1,53,1,0,2,0,0,3,0,0,1,0,6,3,3,0,1,2021-03-07
7,2,2,17,0,0,2,0,0,0,0,0,1,0,6,12,3,0,1,2021-12-05
23,1,1,19,1,0,2,0,0,2,0,0,1,0,1,11,2,1,0,
5,2,2,28,0,0,2,0,2,0,0,0,1,0,0,8,0,0,1,2021-08-16
23,1,1,43,0,8,1,0,0,0,8,1,1,0,5,6,1,0,0,
4,5,1,28,0,0,2,0,0,0,0,0,1,0,6,8,0,0,0,
21,1,1,19,1,1,1,0,0,2,0,0,1,0,4,8,2,0,1,2022-08-26
22,1,1,7,1,0,2,0,0,2,0,0,1,0,5,11,2,0,0,
6,5,1,63,1,3,1,1,0,2,0,0,2,0,2,2,1,0,0,
17,2,2,15,0,0,0,0,0,0,4,1,1,1,2,2,1,0,0,
18,5,1,20,1,0,2,0,0,2,0,0,1,0,4,8,1,0,0,
5,0,2,42,1,1,1,0,0,3,0,0,1,0,6,8,0,0,1,2022-08-14
7,4,1,15,1,1,1,0,0,4,0,0,1,0,2,10,3,0,1,2021-10-13
22,6,1,71,0,0,2,0,0,0,0,0,1,0,0,10,2,0,0,
18,1,1,30,1,5,1,0,0,2,0,0,1,0,6,9,1,0,0,
11,1,1,5,1,1,1,0,0,2,0,0,1,1,3,8,3,0,1,2023-08-17
10,2,1,26,1,1,1,0,0,2,0,0,1,0,2,6,3,0,1,2021-06-30
18,2,1,4,1,1,1,0,0,3,1,0,1,0,3,9,1,0,1,2023-09-14
10,0,1,26,1,1,1,0,0,2,0,0,1,0,5,1,3,0,1,2021-01-09
18,5,1,2,1,1,1,0,0,2,0,1,1,1,3,8,1,0,0,
2,1,1,30,1,0,2,0,0,1,0,1,1,0,5,6,2,0,0,
21,1,1,34,1,0,2,0,0,3,0,0,1,1,6,4,2,1,1,2023-04-02
15,2,2,6,0,0,3,0,0,0,4,0,1,0,6,7,1,0,0,
17,1,1,15,1,1,1,0,0,4,0,0,1,1,0,11,1,0,1,2023-11-27
11,2,1,3,1,1,2,0,3,4,1,0,1,0,2,7,3,0,0,
8,0,1,56,0,0,2,0,0,0,5,1,0,0,4,9,3,0,0,
10,1,1,9,1,1,1,0,0,3,1,0,1,0,2,7,3,0,1,2021-07-21
8,2,2,15,1,1,1,0,0,3,1,0,1,0,2,2,3,0,0,
18,6,2,8,1,0,2,0,0,0,0,0,1,1,6,6,1,0,1,2021-06-13
10,1,1,11,1,0,2,0,3,3,4,1,1,0,0,10,1,0,0,
2,5,1,12,0,0,2,0,0,1,0,0,1,0,4,4,2,0,1,2023-04-07
19,0,1,25,0,0,2,0,0,0,0,0,1,0,5,9,2,0,1,2021-09-18
4,7,1,44,0,0,0,0,0,0,4,0,1,0,4,2,0,0,1,2023-02-03
4,2,1,12,0,0,2,0,0,1,0,0,1,0,6,4,0,1,1,2021-04-11
13,1,1,19,1,1,1,1,0,3,0,0,1,0,4,9,1,0,1,2021-09-03
13,8,1,31,1,0,2,0,1,4,0,0,1,0,3,8,1,0,1,2021-08-19
7,5,1,10,1,0,2,0,0,2,0,1,1,0,3,1,3,0,1,2023-01-26
0,0,1,41,1,1,1,0,0,2,0,0,1,0,0,8,2,0,0,
13,2,1,9,1,8,1,1,0,2,1,0,1,0,4,10,1,0,0,
20,1,1,61,1,1,1,0,0,2,0,0,1,0,2,11,2,0,1,2022-11-16
6,2,2,1,1,1,1,0,0,2,1,0,1,0,2,8,0,0,0,
14,1,1,61,1,1,1,0,0,2,0,0,1,0,0,10,1,0,1,2021-10-18
12,1,1,1,1,1,1,0,0,1,0,0,1,0,4,1,3,0,0,
8,3,1,24,1,0,2,0,0,2,0,0,1,0,1,9,3,0,1,2023-09-19
15,0,1,70,1,5,1,0,0,3,0,0,1,0,0,9,2,1,0,
9,2,1,7,1,5,1,1,0,3,0,0,1,0,2,8,3,0,1,2021-08-11
10,1,1,17,1,1,1,0,0,3,1,0,1,0,2,11,3,0,0,
18,2,1,5,1,1,1,0,0,2,1,0,1,0,0,3,1,0,0,
19,0,1,49,1,1,1,0,0,3,0,0,1,0,3,2,2,0,1,2023-02-23
13,3,1,11,1,1,1,0,0,3,1,0,1,0,3,12,3,0,0,
2,0,1,70,0,0,2,0,0,0,4,0,4,0,2,9,2,0,1,2022-09-28
8,1,1,3,1,1,1,0,0,1,0,0,1,0,4,6,3,0,1,2021-06-04
1,4,1,20,1,0,2,0,0,1,3,0,1,0,6,1,2,0,1,2022-01-30
12,5,1,7,1,1,1,0,0,2,0,0,1,0,6,5,3,0,1,2022-05-08
9,2,1,5,1,5,1,1,0,3,0,0,1,0,2,8,3,0,0,
9,5,1,56,1,0,2,0,0,0,0,0,1,0,5,3,3,0,1,2021-03-20
21,5,1,21,1,1,1,0,0,2,1,0,1,0,0,7,2,0,1,2021-07-05
1,0,1,22,0,0,2,0,0,0,0,0,1,1,6,4,2,1,1,2022-04-24
16,2,1,19,1,1,1,0,0,3,1,0,1,0,6,11,1,0,0,
15,1,1,24,1,1,1,0,0,3,0,0,1,0,0,8,1,0,0,
15,2,1,4,1,1,1,0,0,1,0,0,1,0,4,7,1,0,0,
15,5,1,46,1,1,1,0,0,3,0,0,1,0,3,2,1,0,0,
0,1,1,16,1,1,1,0,0,2,1,0,1,0,2,4,2,1,0,
11,0,1,7,1,1,1,1,0,3,0,0,1,0,0,9,3,0,1,2022-09-05
10,1,1,21,0,1,1,0,0,1,0,0,1,0,5,4,3,0,1,2021-04-03
19,1,1,15,1,1,1,0,0,2,0,0,1,0,5,11,2,0,0,
20,2,2,13,0,0,3,0,0,0,0,0,1,0,2,8,2,0,1,2022-08-31
10,1,1,2,1,1,1,0,0,3,0,1,1,0,1,12,3,0,1,2023-12-12
4,0,1,21,1,1,1,0,0,3,0,0,1,0,0,11,0,0,0,
21,5,1,18,1,5,1,0,0,3,0,0,1,0,0,3,2,0,0,
18,1,1,18,1,1,1,0,0,1,0,0,1,0,2,6,1,0,0,
19,1,1,20,1,1,1,0,0,3,0,0,1,0,2,8,2,0,0,
5,1,1,12,1,1,1,0,0,3,0,0,1,0,2,11,0,0,0,
20,1,1,60,1,1,1,0,0,2,0,0,1,0,0,9,2,0,0,
16,1,1,1,1,1,1,0,2,4,0,0,1,0,5,4,1,0,0,
5,5,1,9,1,0,2,0,0,1,0,0,1,0,0,6,0,0,0,
7,1,1,7,1,1,1,0,0,2,0,0,1,0,3,8,3,0,1,2023-08-24
19,4,1,26,1,1,1,0,0,3,0,0,1,0,2,12,2,0,0,
19,2,1,7,1,1,1,0,0,3,0,0,1,0,4,3,2,0,1,2023-03-17
7,2,1,42,0,0,2,0,0,0,0,0,1,1,1,3,3,0,1,2023-03-28
18,5,1,31,1,1,1,0,0,3,0,0,1,0,6,9,1,0,1,2022-09-18
23,0,1,16,1,0,2,0,0,1,0,0,1,0,0,4,2,0,1,2021-04-26
6,2,1,28,1,0,2,0,0,2,0,0,1,0,6,10,0,0,0,
5,2,4,56,0,0,2,0,2,0,0,1,1,1,5,8,0,0,1,2022-08-13
5,5,1,1,0,1,1,0,0,0,0,1,1,0,5,7,0,0,0,
16,1,1,6,1,0,2,0,0,1,0,1,1,0,6,5,1,0,0,
21,7,1,6,1,1,1,0,0,2,0,0,1,0,3,10,0,0,0,
9,0,1,56,0,0,2,0,0,0,0,0,1,0,4,10,3,0,1,2023-10-20
3,5,1,33,1,1,1,0,0,2,1,0,1,0,5,4,0,0,0,
6,2,1,42,1,2,1,0,0,2,0,0,1,0,0,4,0,0,0,
12,2,1,4,1,1,1,0,0,3,1,0,1,0,3,5,3,0,1,2023-05-11
3,0,1,20,1,0,2,0,0,2,0,1,1,1,2,11,0,0,1,2022-11-30
12,1,1,35,1,1,1,0,1,2,0,0,1,0,2,9,3,0,1,2021-09-29
8,0,1,56,0,0,2,0,0,0,0,0,1,1,5,1,3,0,1,2022-01-08
8,0,1,20,1,0,2,0,0,3,1,0,1,0,0,1,3,0,1,2022-01-10
2,0,1,20,1,0,2,0,0,2,0,0,1,1,5,1,2,0,1,2023-01-21
8,8,1,10,1,0,2,0,0,3,0,0,1,0,3,10,3,0,0,
17,2,1,7,1,1,1,0,0,2,1,0,1,0,3,10,1,0,1,2021-10-28
5,4,1,14,0,0,2,0,0,0,0,0,1,0,6,1,0,0,1,2021-01-17
10,2,2,56,0,0,2,0,0,0,0,0,1,0,1,2,3,0,1,2022-02-22
21,1,1,56,1,0,2,0,0,1,0,0,1,0,5,5,1,0,0,
9,2,1,35,1,0,2,0,0,2,0,0,1,0,4,9,3,0,1,2023-09-22
5,2,1,7,1,0,2,0,0,1,1,0,1,0,6,2,0,0,0,
15,2,1,46,1,1,1,0,0,2,0,0,1,0,3,6,1,0,0,
22,5,1,56,0,0,0,0,0,0,0,0,1,0,6,6,1,0,0,
2,5,1,17,1,0,2,0,0,2,0,0,1,0,2,5,2,0,1,2022-05-25
11,1,1,15,1,1,1,1,0,2,0,0,1,1,5,2,3,0,1,2023-02-11
22,1,1,19,1,0,2,0,0,2,0,1,1,1,5,7,2,0,0,
5,4,1,9,1,0,1,0,0,2,1,0,1,0,6,6,0,0,0,
9,0,1,21,1,1,1,1,0,3,0,0,1,1,0,4,3,0,1,2023-04-24
7,0,1,14,1,0,3,0,0,3,0,0,1,0,5,8,3,0,1,2022-08-06
22,1,1,15,1,0,2,0,0,2,0,0,1,0,6,8,2,0,0,
15,1,1,21,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,
9,1,1,4,1,0,2,0,0,3,1,0,1,0,4,12,3,0,1,2021-12-31
5,5,1,9,1,0,2,1,0,2,0,0,1,0,0,7,0,0,0,
19,2,3,56,0,0,2,0,0,0,0,0,1,0,1,1,2,1,1,2021-01-12
23,5,1,26,1,0,2,0,0,1,1,1,1,0,2,1,2,0,0,
0,5,1,30,1,0,2,0,0,2,0,0,1,0,0,1,2,0,1,2023-01-02
5,5,1,33,0,0,2,0,0,0,0,0,1,1,1,6,0,0,1,2023-06-27
22,2,1,19,1,0,2,0,0,2,1,0,1,0,4,11,2,0,0,
9,2,1,20,1,1,1,0,0,1,0,0,2,0,4,6,3,0,1,2021-06-11
9,1,1,50,1,1,1,1,0,2,0,0,1,1,5,6,3,0,1,2023-06-17
4,3,1,60,1,0,2,0,0,2,0,0,1,0,1,12,3,0,0,
7,0,1,31,1,0,2,0,0,2,4,0,1,0,6,8,3,0,1,2023-08-27
8,0,1,44,0,0,2,0,1,0,0,0,1,0,1,12,3,0,1,2023-12-12
9,1,1,18,1,1,1,0,1,2,1,0,1,0,6,9,3,0,0,
7,2,1,56,0,0,2,0,0,0,0,1,1,0,4,7,3,0,0,
10,1,1,7,1,1,1,0,0,3,1,0,1,0,2,7,3,0,0,
13,5,1,41,1,1,1,0,0,3,0,0,1,0,2,12,3,0,0,
10,2,1,2,1,1,1,0,0,3,1,0,1,0,6,1,3,0,0,
21,1,1,11,1,0,2,0,0,0,0,0,1,0,4,3,2,0,0,
7,0,1,21,1,0,2,1,0,3,0,0,1,0,5,7,3,0,0,
21,5,1,20,1,1,1,0,0,2,1,0,1,0,0,7,2,0,0,
21,1,1,47,1,2,1,0,0,1,4,0,1,0,4,2,2,0,0,
7,0,1,20,1,1,1,0,0,1,0,0,1,0,4,3,3,0,0,
